Nr. Pomiaru,Data,Ciężar ładunku [T],Długość wysięgnika [m],Odległość od osi [m],Wysokość podnoszenia [m],"Maksymalne, chwilowe zużycie ON [l/h]",Dzienne zużycie ON [l/8h],Cena hurtowa ON 1000l [PLN],"Maksymalne, chwilowe zużycie energii elektrycznej [kW]",Dzienne zużycie energii elektrycznej [kW/8h],Cena energii elektrycznej [kWh],Koszt dzienny [PLN],Prędkość wiatru [km/h],Prędkość wiatru [m/s],Temperatura [C],Ciśnienie [hPa]
1,11/4/2019,5,13.2,2,8,15,48,,,,,,10.25,2.85,10.25,995
2,11/4/2019,8,13.2,2,8,15,48,,,,,,10.25,2.85,10.25,995
3,11/4/2019,15,13.2,2,8,15,48,,,,,,10.25,2.85,10.25,995
4,11/5/2019,5,13.2,1,10,14.9,47.2,4241,,,,200.1752,7,1.94,8,999.5
5,11/5/2019,8,13.2,1,10,14.9,47.2,4241,,,,200.1752,7,1.94,8,999.5
6,11/5/2019,15,13.2,1,10,14.9,47.2,4241,,,,200.1752,7,1.94,8,999.5
7,11/6/2019,5,17.7,3,9,15.1,48,4244,,,,203.712,13.66,3.79,6.75,1004.25
8,11/6/2019,8,17.7,3,9,15.1,48,4244,,,,203.712,13.66,3.79,6.75,1004.25
9,11/6/2019,15,17.7,3,9,15.1,48,4244,,,,203.712,13.66,3.79,6.75,1004.25
10,11/7/2019,5,17.7,8,11,15.2,48.8,4245,,,,207.156,6.5,1.81,6,1008.5
11,11/7/2019,8,17.7,8,11,15.2,48.8,4245,,,,207.156,6.5,1.81,6,1008.5
12,11/7/2019,15,17.7,8,11,15.2,48.8,4245,,,,207.156,6.5,1.81,6,1008.5
13,11/8/2019,5,22.2,10,8,14.9,48,4243,,,,203.664,10.5,2.92,4.75,1009.5
14,11/8/2019,8,22.2,10,8,14.9,48,4243,,,,203.664,10.5,2.92,4.75,1009.5
15,11/8/2019,15,22.2,10,8,14.9,48,4243,,,,203.664,10.5,2.92,4.75,1009.5
16,11/12/2019,5,22.2,9,12,14.9,47.2,,,,,,10.5,2.92,7.75,1005
17,11/12/2019,8,22.2,9,12,14.9,47.2,,,,,,10.5,2.92,7.75,1005
18,11/12/2019,15,22.2,9,12,14.9,47.2,,,,,,10.5,2.92,7.75,1005
19,11/13/2019,5,26.7,5,10,15.1,48.8,4254,,,,207.5952,16.75,4.65,8.75,1002.75
20,11/13/2019,8,26.7,5,10,15.1,48.8,4254,,,,207.5952,16.75,4.65,8.75,1002.75
21,11/13/2019,15,26.7,5,10,15.1,48.8,4254,,,,207.5952,16.75,4.65,8.75,1002.75
22,11/14/2019,5,26.7,4,20,15,48,4254,,,,204.192,10.5,2.92,5.5,1013.5
23,11/14/2019,8,26.7,4,20,15,48,4254,,,,204.192,10.5,2.92,5.5,1013.5
24,11/14/2019,15,26.7,4,20,15,48,4254,,,,204.192,10.5,2.92,5.5,1013.5
25,11/15/2019,5,31.3,3,16,14.9,47.2,4286,,,,202.2992,11,3.06,8,1011.5
26,11/15/2019,8,31.3,3,16,14.9,47.2,4286,,,,202.2992,11,3.06,8,1011.5
27,11/15/2019,15,31.3,3,16,14.9,47.2,4286,,,,202.2992,11,3.06,8,1011.5
28,11/18/2019,5,31.3,2,24,15.1,48.8,,,,,,12,3.33,8,1013.75
29,11/18/2019,8,31.3,2,24,15.1,48.8,,,,,,12,3.33,8,1013.75
30,11/18/2019,15,31.3,2,24,15.1,48.8,,,,,,12,3.33,8,1013.75
31,11/19/2019,5,35.8,5,12,15,48,4284,,,,205.632,8.5,2.36,5.5,1020.75
32,11/19/2019,8,35.8,5,12,15,48,4284,,,,205.632,8.5,2.36,5.5,1020.75
33,11/19/2019,15,35.8,5,12,15,48,4284,,,,205.632,8.5,2.36,5.5,1020.75
34,11/20/2019,5,35.8,4,20,14.9,47.2,4272,,,,201.6384,13.75,3.82,5.75,1016.75
35,11/20/2019,8,35.8,4,20,14.9,47.2,4272,,,,201.6384,13.75,3.82,5.75,1016.75
36,11/20/2019,15,35.8,4,20,14.9,47.2,4272,,,,201.6384,13.75,3.82,5.75,1016.75
37,11/21/2019,5,35.8,2,24,14.8,47.2,4269,,,,201.4968,14.75,4.1,8.5,1014.5
38,11/21/2019,8,35.8,2,24,14.8,47.2,4269,,,,201.4968,14.75,4.1,8.5,1014.5
39,11/21/2019,15,35.8,2,24,14.8,47.2,4269,,,,201.4968,14.75,4.1,8.5,1014.5
40,11/22/2019,5,40.3,2,16,15,48,4268,,,,204.864,18.5,5.14,4.5,1016.75
41,11/22/2019,8,40.3,2,16,15,48,4268,,,,204.864,18.5,5.14,4.5,1016.75
42,11/22/2019,15,40.3,2,16,15,48,4268,,,,204.864,18.5,5.14,4.5,1016.75
43,11/25/2019,5,40.3,3,18,15.1,48.8,,,,,,11,3.06,2.5,1013.75
44,11/25/2019,8,40.3,3,18,15.1,48.8,,,,,,11,3.06,2.5,1013.75
45,11/25/2019,15,40.3,3,18,15.1,48.8,,,,,,11,3.06,2.5,1013.75
46,11/26/2019,1,40.3,2,22,15,48,4297,,,,206.256,9,2.5,2.5,1012
47,11/26/2019,5,40.3,2,22,15,48,4297,,,,206.256,9,2.5,2.5,1012
48,11/26/2019,8,40.3,2,22,15,48,4297,,,,206.256,9,2.5,2.5,1012
49,11/27/2019,5,44.8,3,20,15,48,4320,,,,207.36,8.25,2.29,3.25,1003.5
50,11/27/2019,8,44.8,3,20,15,48,4320,,,,207.36,8.25,2.29,3.25,1003.5
51,11/27/2019,10,44.8,3,20,15,48,4320,,,,207.36,8.25,2.29,3.25,1003.5
52,11/28/2019,1,44.8,4,32,15.2,48.8,4320,,,,210.816,7,1.94,4.75,1000.25
53,11/28/2019,5,44.8,4,32,15.2,48.8,4320,,,,210.816,7,1.94,4.75,1000.25
54,11/28/2019,8,44.8,4,32,15.2,48.8,4320,,,,210.816,7,1.94,4.75,1000.25
55,11/29/2019,5,49.3,5,33,14.9,47.2,4328,,,,204.2816,18.75,5.21,6,1005
56,11/29/2019,8,49.3,5,26,14.9,47.2,4328,,,,204.2816,18.75,5.21,6,1005
57,11/29/2019,10,49.3,5,28,14.9,47.2,4328,,,,204.2816,18.75,5.21,6,1005
58,12/2/2019,5,49.3,6,34,15.1,48.8,,,,,,15.75,4.38,0.5,1019.25
59,12/2/2019,8,49.3,6,32,15.1,48.8,,,,,,15.75,4.38,0.5,1019.25
60,12/2/2019,10,49.3,6,30,15.1,48.8,,,,,,15.75,4.38,0.5,1019.25
61,12/3/2019,1,49.3,5,34,15,48,4310,,,,206.88,12,3.33,-1.5,1027.25
62,12/3/2019,5,49.3,5,34,15,48,4310,,,,206.88,12,3.33,-1.5,1027.25
63,12/3/2019,8,49.3,5,34,15,48,4310,,,,206.88,12,3.33,-1.5,1027.25
64,12/4/2019,1,49.3,3,36,15.1,48.8,4294,,,,209.5472,7.75,2.15,-1.5,1027.75
65,12/4/2019,5,49.3,3,36,15.1,48.8,4294,,,,209.5472,7.75,2.15,-1.5,1027.75
66,12/4/2019,8,49.3,3,36,15.1,48.8,4294,,,,209.5472,7.75,2.15,-1.5,1027.75
67,12/5/2019,5,53.8,16,16,14.8,47.2,4295,,,,202.724,7,1.94,2.25,1024.25
68,12/5/2019,8,53.8,16,16,14.8,47.2,4295,,,,202.724,7,1.94,2.25,1024.25
69,12/5/2019,10,53.8,16,16,14.8,47.2,4295,,,,202.724,7,1.94,2.25,1024.25
70,12/6/2019,1,53.8,3,18,15,48,4302,,,,206.496,9.75,2.71,-1.5,1017.5
71,12/6/2019,5,53.8,3,18,15,48,4302,,,,206.496,9.75,2.71,-1.5,1017.5
72,12/6/2019,8,53.8,3,18,15,48,4302,,,,206.496,9.75,2.71,-1.5,1017.5
73,12/9/2019,1,53.8,11,48,14.9,47.2,,,,,,8.5,2.36,5.25,1007
74,12/9/2019,3,53.8,11,48,14.9,47.2,,,,,,8.5,2.36,5.25,1007
75,12/9/2019,5,53.8,11,48,14.9,47.2,,,,,,8.5,2.36,5.25,1007
76,12/10/2019,3,58.3,20,11,15.1,48.8,4324,,,,211.0112,16.5,4.58,2.25,1021
77,12/10/2019,8,58.3,20,11,15.1,48.8,4324,,,,211.0112,16.5,4.58,2.25,1021
78,12/10/2019,10,58.3,20,11,15.1,48.8,4324,,,,211.0112,16.5,4.58,2.25,1021
79,12/11/2019,1,58.3,12,34,15,48,4340,,,,208.32,9.75,2.71,-3,1017.5
80,12/11/2019,5,58.3,12,30,15,48,4340,,,,208.32,9.75,2.71,-3,1017.5
81,12/11/2019,8,58.3,12,28,15,48,4340,,,,208.32,9.75,2.71,-3,1017.5
82,12/12/2019,1,58.3,3,38,14.9,47.2,4322,,,,203.9984,5,1.39,-0.25,1006
83,12/12/2019,1,58.3,3,46,14.9,47.2,4322,,,,203.9984,5,1.39,-0.25,1006
84,12/12/2019,1,58.3,3,50,14.9,47.2,4322,,,,203.9984,5,1.39,-0.25,1006
85,12/13/2019,5,62.8,5,30,15,48,4308,,,,206.784,9.5,2.64,3.5,992.5
86,12/13/2019,8,62.8,5,25,15,48,4308,,,,206.784,9.5,2.64,3.5,992.5
87,12/13/2019,10,62.8,5,20,15,48,4308,,,,206.784,9.5,2.64,3.5,992.5
88,12/16/2019,1,62.8,5,27,15.2,48.8,,,,,,6.5,1.81,5,1010
89,12/16/2019,5,62.8,5,27,15.2,48.8,,,,,,6.5,1.81,5,1010
90,12/16/2019,8,62.8,5,27,15.2,48.8,,,,,,6.5,1.81,5,1010
91,12/17/2019,1,62.8,3,30,14.9,47.2,4330,,,,204.376,6,1.67,3.25,1012.75
92,12/17/2019,3,62.8,3,32,14.9,47.2,4330,,,,204.376,6,1.67,3.25,1012.75
93,12/17/2019,5,62.8,3,36,14.9,47.2,4330,,,,204.376,6,1.67,3.25,1012.75
94,12/18/2019,1,62.8,4,40,14.8,46.4,4349,,,,201.7936,6,1.67,7,1020
95,12/18/2019,1,62.8,4,42,14.8,46.4,4349,,,,201.7936,6,1.67,7,1020
96,12/18/2019,1,62.8,4,46,14.8,46.4,4349,,,,201.7936,6,1.67,7,1020
97,12/19/2019,1,67.3,12,16,15,48,4377,,,,210.096,10,2.78,2.5,1020.75
98,12/19/2019,3,67.3,12,18,15,48,4377,,,,210.096,10,2.78,2.5,1020.75
99,12/19/2019,5,67.3,12,20,15,48,4377,,,,210.096,10,2.78,2.5,1020.75
100,12/20/2019,1,67.3,3,22,15.1,48.8,4398,,,,214.6224,10.5,2.92,10,1003.5
101,12/20/2019,5,67.3,3,24,15.1,48.8,4398,,,,214.6224,10.5,2.92,10,1003.5
102,12/20/2019,5,67.3,3,28,15.1,48.8,4398,,,,214.6224,10.5,2.92,10,1003.5
103,12/23/2019,1,67.3,2,38,14.8,46.4,,,,,,15,4.17,5.5,1000
104,12/23/2019,1,67.3,4,48,14.8,46.4,,,,,,15,4.17,5.5,1000
105,12/23/2019,1,67.3,6,52,14.8,46.4,,,,,,15,4.17,5.5,1000
106,12/24/2019,1,72,8,16,15.2,49.6,4421,,,,219.2816,15,4.17,4.5,1010.5
107,12/24/2019,3,72,8,16,15.2,49.6,4421,,,,219.2816,15,4.17,4.5,1010.5
108,12/24/2019,5,72,8,16,15.2,49.6,4421,,,,219.2816,15,4.17,4.5,1010.5
109,12/27/2019,1,72,11,20,15.1,48.8,,,,,,15.75,4.38,1.5,1025
110,12/27/2019,1,72,15,25,15.1,48.8,,,,,,15.75,4.38,1.5,1025
111,12/27/2019,1,72,17,30,15.1,48.8,,,,,,15.75,4.38,1.5,1025
112,12/30/2019,1,72,8,35,15,48,,,,,,21.5,5.97,3.75,1026
113,12/30/2019,1,72,9,37,15,48,,,,,,21.5,5.97,3.75,1026
114,12/30/2019,1,72,10,38,15,48,,,,,,21.5,5.97,3.75,1026
115,12/31/2019,1,72,5,40,14.9,47.2,4449,,,,209.9928,24.75,6.88,3,1025.75
116,12/31/2019,1,72,5,45,14.9,47.2,4449,,,,209.9928,24.75,6.88,3,1025.75
117,12/31/2019,1,72,5,50,14.9,47.2,4449,,,,209.9928,24.75,6.88,3,1025.75
118,1/3/2022,5,13.2,2,3,,,,39.6,79.2,0.4843,38.35656,34,9.44,8.5,1009.5
119,1/3/2022,8,13.2,2,3,,,,39.6,79.2,0.4843,38.35656,34,9.44,8.5,1009.5
120,1/3/2022,15,13.2,1,3,,,,39.6,79.2,0.4843,38.35656,34,9.44,8.5,1009.5
121,1/4/2022,5,13.2,1,10,,,,39.8,80,0.4843,38.744,37.5,10.42,8.5,1000.25
122,1/4/2022,8,13.2,1,10,,,,39.8,80,0.4843,38.744,37.5,10.42,8.5,1000.25
123,1/4/2022,15,13.2,3,10,,,,39.8,80,0.4843,38.744,37.5,10.42,8.5,1000.25
124,1/5/2022,5,17.7,3,4,,,,39.7,79.2,0.4843,38.35656,24.25,6.74,4,1000.5
125,1/5/2022,8,17.7,3,4,,,,39.7,79.2,0.4843,38.35656,24.25,6.74,4,1000.5
126,1/5/2022,15,17.7,8,4,,,,39.7,79.2,0.4843,38.35656,24.25,6.74,4,1000.5
127,1/7/2022,5,17.7,8,14,,,,39.6,79.2,0.4843,38.35656,14.25,3.96,0,1021.5
128,1/7/2022,8,17.7,8,14,,,,39.6,79.2,0.4843,38.35656,14.25,3.96,0,1021.5
129,1/7/2022,15,17.7,10,14,,,,39.6,79.2,0.4843,38.35656,14.25,3.96,0,1021.5
130,1/10/2022,5,22.2,10,4,,,,39.6,79.2,0.4843,38.35656,14.75,4.1,-2,1020.5
131,1/10/2022,8,22.2,10,4,,,,39.6,79.2,0.4843,38.35656,14.75,4.1,-2,1020.5
132,1/10/2022,15,22.2,9,4,,,,39.6,79.2,0.4843,38.35656,14.75,4.1,-2,1020.5
133,1/11/2022,5,22.2,9,19,,,,39.8,79.2,0.4843,38.35656,10.25,2.85,-3.5,1034
134,1/11/2022,8,22.2,9,19,,,,39.8,79.2,0.4843,38.35656,10.25,2.85,-3.5,1034
135,1/11/2022,15,22.2,5,19,,,,39.8,79.2,0.4843,38.35656,10.25,2.85,-3.5,1034
136,1/12/2022,5,26.7,5,4,,,,39.6,79.2,0.4843,38.35656,11.25,3.13,-4,1036.25
137,1/12/2022,8,26.7,5,4,,,,39.6,79.2,0.4843,38.35656,11.25,3.13,-4,1036.25
138,1/12/2022,15,26.7,4,4,,,,39.6,79.2,0.4843,38.35656,11.25,3.13,-4,1036.25
139,1/13/2022,5,26.7,4,24,,,,40,80.1,0.4843,38.79243,26.5,7.36,1,1033.25
140,1/13/2022,8,26.7,4,24,,,,40,80.1,0.4843,38.79243,26.5,7.36,1,1033.25
141,1/13/2022,15,26.7,3,24,,,,40,80.1,0.4843,38.79243,26.5,7.36,1,1033.25
142,1/14/2022,5,31.3,3,5,,,,40,80.1,0.4843,38.79243,33.25,9.24,3,1024.5
143,1/14/2022,8,31.3,3,5,,,,40,80.1,0.4843,38.79243,33.25,9.24,3,1024.5
144,1/14/2022,15,31.3,2,5,,,,40,80.1,0.4843,38.79243,33.25,9.24,3,1024.5
145,1/17/2022,5,31.3,2,28,,,,39.9,80,0.4843,38.744,38.5,10.69,0.5,1012.25
146,1/17/2022,8,31.3,2,28,,,,39.9,80,0.4843,38.744,38.5,10.69,0.5,1012.25
147,1/17/2022,15,31.3,5,28,,,,39.9,80,0.4843,38.744,38.5,10.69,0.5,1012.25
148,1/18/2022,5,35.8,5,5,,,,39.9,80,0.4843,38.744,22.5,6.25,-1,1032.5
149,1/18/2022,8,35.8,5,5,,,,39.9,80,0.4843,38.744,22.5,6.25,-1,1032.5
150,1/18/2022,15,35.8,4,5,,,,39.9,80,0.4843,38.744,22.5,6.25,-1,1032.5
151,1/19/2022,5,35.8,4,24,,,,39.8,79.2,0.4843,38.35656,14.25,3.96,-1,1026.75
152,1/19/2022,8,35.8,4,24,,,,39.8,79.2,0.4843,38.35656,14.25,3.96,-1,1026.75
153,1/19/2022,15,35.8,2,24,,,,39.8,79.2,0.4843,38.35656,14.25,3.96,-1,1026.75
154,1/20/2022,5,35.8,2,32,,,,39.8,79.2,0.4843,38.35656,33.25,9.24,0,1011
155,1/20/2022,8,35.8,2,32,,,,39.8,79.2,0.4843,38.35656,33.25,9.24,0,1011
156,1/20/2022,15,35.8,2,32,,,,39.8,79.2,0.4843,38.35656,33.25,9.24,0,1011
157,1/21/2022,5,40.3,2,7,,,,39.7,79.2,0.4843,38.35656,27.25,7.57,-2.5,1019.25
158,1/21/2022,8,40.3,2,7,,,,39.7,79.2,0.4843,38.35656,27.25,7.57,-2.5,1019.25
159,1/21/2022,15,40.3,3,7,,,,39.7,79.2,0.4843,38.35656,27.25,7.57,-2.5,1019.25
160,1/24/2022,5,40.3,3,22,,,,39.6,79.2,0.4843,38.35656,6.25,1.74,-6,1034.5
161,1/24/2022,8,40.3,3,22,,,,39.6,79.2,0.4843,38.35656,6.25,1.74,-6,1034.5
162,1/24/2022,15,40.3,2,22,,,,39.6,79.2,0.4843,38.35656,6.25,1.74,-6,1034.5
163,1/25/2022,1,40.3,2,36,,,,39.8,80,0.4843,38.744,18.75,5.21,-0.5,1029.25
164,1/25/2022,5,40.3,2,36,,,,39.8,80,0.4843,38.744,18.75,5.21,-0.5,1029.25
165,1/25/2022,8,40.3,3,36,,,,39.8,80,0.4843,38.744,18.75,5.21,-0.5,1029.25
166,1/26/2022,5,44.8,3,7,,,,39.7,79.2,0.4843,38.35656,20.75,5.76,1,1026.25
167,1/26/2022,8,44.8,3,7,,,,39.7,79.2,0.4843,38.35656,20.75,5.76,1,1026.25
168,1/26/2022,10,44.8,4,7,,,,39.7,79.2,0.4843,38.35656,20.75,5.76,1,1026.25
169,1/27/2022,1,44.8,4,40,,,,39.6,79.2,0.4843,38.35656,25,6.94,0.5,1018.5
